"","date","approval","percentage"
"668",2004-06-01,"Don't approve",0.25
"669",2004-06-01,"No answer",0.03
"670",2004-05-01,"Approve",0.76
"671",2004-05-01,"Don't approve",0.21
"672",2004-05-01,"No answer",0.02
"673",2004-04-01,"Approve",0.79
"674",2004-04-01,"Don't approve",0.19
"675",2004-04-01,"No answer",0.02
"676",2004-03-01,"Approve",0.81
"677",2004-03-01,"Don't approve",0.16
"678",2004-03-01,"No answer",0.03
"679",2004-02-01,"Approve",0.82
"680",2004-02-01,"Don't approve",0.17
"681",2004-02-01,"No answer",0.01
"682",2004-01-01,"Approve",0.79
"683",2004-01-01,"Don't approve",0.2
"684",2004-01-01,"No answer",0.02
"685",2003-12-01,"Approve",0.86
"686",2003-12-01,"Don't approve",0.13
"687",2003-12-01,"No answer",0.01
"688",2003-11-01,"Approve",0.81
"689",2003-11-01,"Don't approve",0.18
"690",2003-11-01,"No answer",0.01
"691",2003-10-01,"Approve",0.73
"692",2003-10-01,"Don't approve",0.24
"693",2003-10-01,"No answer",0.03
"694",2003-09-01,"Approve",0.75
"695",2003-09-01,"Don't approve",0.22
"696",2003-09-01,"No answer",0.03
"697",2003-08-01,"Approve",0.74
"698",2003-08-01,"Don't approve",0.23
"699",2003-08-01,"No answer",0.03
"700",2003-07-01,"Approve",0.78
"701",2003-07-01,"Don't approve",0.19
"702",2003-07-01,"No answer",0.02
"703",2003-06-01,"Approve",0.77
"704",2003-06-01,"Don't approve",0.22
"705",2003-06-01,"No answer",0.02
"706",2003-05-01,"Approve",0.7
